city,cloudiness,lat,long,country,date,humidity,max_temp,wind_speed
cape town,1.0,-33.93,18.42,ZA,1586742367.0,87.0,55.0,3.36
mataura,99.0,-46.19,168.86,NZ,1586742462.0,89.0,44.01,11.01
port-gentil,75.0,-0.72,8.78,GA,1586742538.0,73.0,79.11,2.35
nikolskoye,75.0,59.7,30.79,RU,1586742489.0,75.0,42.8,8.95
arraial do cabo,98.0,-22.97,-42.03,BR,1586742750.0,65.0,73.49,6.24
vaini,20.0,-21.2,-175.2,TO,1586742750.0,61.0,82.4,6.93
shingu,75.0,33.73,135.98,JP,1586742750.0,81.0,48.2,18.34
ushuaia,90.0,-54.8,-68.3,AR,1586742466.0,81.0,42.8,10.29
hermanus,0.0,-34.42,19.23,ZA,1586742750.0,81.0,55.0,4.9
pisco,10.0,-13.7,-76.22,PE,1586742479.0,83.0,72.0,14.99
khatanga,99.0,71.97,102.5,RU,1586742751.0,96.0,15.22,10.31
upata,90.0,8.01,-62.4,VE,1586742751.0,78.0,71.01,5.61
nishihara,90.0,26.18,127.76,JP,1586742751.0,51.0,64.4,19.46
tomatlan,22.0,19.93,-105.25,MX,1586742751.0,52.0,70.45,8.57
maniitsoq,100.0,65.42,-52.9,GL,1586742751.0,96.0,32.22,25.84
sao joao da barra,90.0,-21.64,-41.05,BR,1586742751.0,75.0,71.35,7.36
punta arenas,75.0,-53.15,-70.92,CL,1586742583.0,76.0,50.0,27.51
ponta do sol,75.0,32.67,-17.1,PT,1586742462.0,72.0,62.6,11.41
sombrio,39.0,-29.11,-49.62,BR,1586742752.0,85.0,63.16,3.74
san cristobal,8.0,7.77,-72.22,VE,1586742752.0,56.0,68.5,2.26
severnyy,65.0,50.68,36.55,RU,1586742752.0,40.0,35.6,6.71
balikpapan,75.0,-1.27,116.83,ID,1586742752.0,83.0,84.2,3.36
nicoya,77.0,10.15,-85.45,CR,1586742752.0,85.0,73.0,11.01
paamiut,100.0,61.99,-49.67,GL,1586742752.0,96.0,32.45,23.64
kapaa,75.0,22.08,-159.32,US,1586742564.0,64.0,80.6,13.87
ribeira grande,13.0,38.52,-28.7,PT,1586742460.0,81.0,60.82,10.11
faanui,88.0,-16.48,-151.75,PF,1586742753.0,70.0,83.52,10.92
arzgir,0.0,45.37,44.22,RU,1586742753.0,73.0,35.87,9.86
tiksi,100.0,71.69,128.87,RU,1586742753.0,95.0,16.65,21.99
inta,67.0,66.03,60.17,RU,1586742753.0,95.0,20.7,7.23
morant bay,20.0,17.88,-76.41,JM,1586742753.0,66.0,84.2,21.92
